,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Gladstone,-23.85,151.25,303.15,51,2,7.72,AU,1611723011
358,Sobolevo,54.4299,31.8996,272.07,98,100,8.2,RU,1611723011
359,Beïnamar,8.6698,15.3813,292.1,27,46,1.21,TD,1611723012
360,Salym,60.0625,71.4789,255.67,92,100,2.55,RU,1611723012
361,Merauke,-8.4667,140.3333,302.34,79,86,7.16,ID,1611723012
362,Olafsvik,64.8945,-23.7142,271.17,88,100,9.76,IS,1611723012
363,Turbat,26.0023,63.044,293.0,17,0,5.29,PK,1611723013
364,Katsuura,35.1333,140.3,285.93,79,100,7.45,JP,1611723013
365,Muroto-misakicho,33.2833,134.15,289.15,48,20,10.8,JP,1611723013
366,Whitianga,-36.8333,175.7,297.36,65,4,3.02,NZ,1611723013
367,Ipixuna,-1.7625,-48.8043,298.15,94,75,1.03,BR,1611723014
368,Fredericksburg,38.3032,-77.4605,277.15,93,90,1.54,US,1611723014
369,Ganta,7.3022,-8.5308,293.75,87,25,1.17,LR,1611723014
370,Belaya Gora,68.5333,146.4167,239.6,83,100,1.56,RU,1611723015
371,Goderich,43.7501,-81.7165,270.15,80,93,3.6,CA,1611723015
372,Lundazi,-12.2929,33.1782,292.27,87,97,1.01,ZM,1611723016
373,Kokopo,-4.352,152.2633,303.18,66,98,5.28,PG,1611723016
374,Turukhansk,65.8167,87.9833,242.86,86,100,7.31,RU,1611723016
375,Nabire,-3.3667,135.4833,301.79,66,98,2.6,ID,1611722956
376,Chara,56.9064,118.2631,243.5,81,100,0.9,RU,1611723017
377,Port Hedland,-20.3167,118.5667,312.15,25,27,5.14,AU,1611722738
378,Adrar,20.5022,-10.0711,290.52,22,0,4.21,MR,1611723017
379,Mumbwa,-14.9783,27.0619,290.35,94,99,2.49,ZM,1611723017
380,Saint-Joseph,-21.3667,55.6167,303.15,45,0,2.57,RE,1611723018
381,Paamiut,61.994,-49.6678,263.22,78,0,3.52,GL,1611723018
382,Bilibino,68.0546,166.4372,245.03,82,100,2.76,RU,1611723018
383,Basco,20.4487,121.9702,295.9,71,36,7.09,PH,1611723019
384,Nālūt,30.3333,10.85,278.64,65,0,4.01,LY,1611723019
385,Hearst,49.6835,-83.6665,254.15,78,98,1.54,CA,1611723019
386,Inhambane,-23.865,35.3833,301.15,89,20,3.09,MZ,1611723019
387,Holme,56.1138,10.1725,275.15,93,90,1.54,DK,1611723020
388,Bariloche,-41.1456,-71.3082,281.15,66,40,3.6,AR,1611723020
389,Muros,42.7762,-9.0603,286.48,96,100,0.89,ES,1611723020
390,Kiruna,67.8557,20.2251,263.15,85,90,3.09,SE,1611723020
391,Samfya,-11.3649,29.5565,291.04,93,100,1.53,ZM,1611723021
392,Joshīmath,30.5667,79.5667,285.46,23,0,1.35,IN,1611723021
393,Malakanagiri,18.35,81.9,302.61,43,19,0.99,IN,1611723022
394,Tommot,58.9564,126.2925,237.08,78,100,2.39,RU,1611723022
395,Provost,52.3501,-110.2683,255.15,92,100,4.63,CA,1611723023
396,Kuril'sk,45.2333,147.8833,270.89,96,91,9.72,RU,1611723023
397,San Pedro de Macorís,18.4616,-69.2972,296.48,89,41,0.45,DO,1611723023
398,Nuuk,64.1835,-51.7216,263.13,84,1,4.64,GL,1611723024
399,Bilma,18.6853,12.9164,288.39,24,0,4.36,NE,1611723024
400,Maku,39.2911,44.4521,269.37,79,87,0.56,IR,1611723024
401,Arrondissement de Saint-Dizier,48.4167,5.0833,275.15,80,90,3.6,FR,1611723024
402,Gamba,-2.65,10.0,298.04,91,100,2.64,GA,1611723025
403,Hirara,24.8,125.2833,294.15,68,75,5.14,JP,1611723025
404,Kibre Mengist,5.8833,38.9833,287.15,37,7,1.94,ET,1611723025
405,Lakeway,30.3638,-97.9796,285.93,71,1,6.69,US,1611723025
406,Nemuro,43.3236,145.575,273.15,93,75,5.14,JP,1611723026
407,Lock Haven,41.137,-77.4469,275.37,97,87,3.29,US,1611723026
408,Egvekinot,66.3167,-179.1667,247.46,88,91,6.52,RU,1611723026
409,Chapais,49.7834,-74.8492,264.15,92,90,1.54,CA,1611723027
410,Villarrica,-25.75,-56.4333,296.23,96,100,3.43,PY,1611723027
411,Along,28.1667,94.7667,295.86,35,65,0.35,IN,1611723027
412,Kidal,18.4411,1.4078,289.3,25,0,4.05,ML,1611723027
413,Skjervøy,70.0311,20.9714,268.21,90,35,9.71,NO,1611723028
414,Praia,14.9215,-23.5087,293.15,52,0,4.12,CV,1611723028
415,Dubna,56.7333,37.1667,272.36,98,100,6.64,RU,1611723028
416,Kāmyārān,34.7956,46.9355,271.15,86,0,1.03,IR,1611723028
417,Vanavara,60.34,102.2797,237.39,81,35,1.31,RU,1611723029
418,Samāstipur,25.85,85.7833,290.85,34,0,3.08,IN,1611723029
419,Savinskiy,62.9342,40.1361,272.17,98,99,3.1,RU,1611723029
420,Grand-Santi,4.25,-54.3833,295.39,97,100,0.66,GF,1611723030
421,Evensk,61.95,159.2333,255.83,84,100,4.98,RU,1611723030
422,Banyo,6.75,11.8167,290.54,29,26,1.2,CM,1611723031
423,Trivandrum,8.4833,76.9167,303.15,39,20,1.54,IN,1611723031
424,Ternate,0.8,127.4,302.8,61,73,3.38,ID,1611723031
425,Krasnovishersk,60.4078,57.082,266.55,97,100,2.35,RU,1611723032
426,Asproválta,40.7167,23.7,278.15,63,100,2.24,GR,1611723032
427,Churapcha,62.0025,132.4325,230.19,75,97,2.05,RU,1611723032
428,Paracuru,-3.41,-39.0306,299.82,77,77,7.15,BR,1611723033
429,Kirkuk,35.4681,44.3922,283.02,48,89,2.85,IQ,1611723033
430,Kayerkan,69.3497,87.7602,244.13,85,100,2.42,RU,1611723034
431,Haimen,23.1935,116.6142,294.15,56,4,2.0,CN,1611723018
432,Waipawa,-41.4122,175.5153,295.15,68,0,12.35,NZ,1611723034
433,Kalamare,-22.9337,26.5703,292.77,88,47,3.61,BW,1611723034
434,Lexington,37.9887,-84.4777,275.37,75,90,6.69,US,1611722874
435,Dombarovskiy,50.7587,59.5386,263.96,96,54,2.95,RU,1611723035
436,Baykit,61.67,96.37,234.18,75,75,1.36,RU,1611723035
437,Muskegon,43.3,-86.1334,267.15,73,75,3.6,US,1611722760
438,Veinticinco de Mayo,-35.4323,-60.1727,294.82,64,100,0.45,AR,1611723036
439,Mandalī,33.7499,45.5541,285.26,41,51,0.9,IQ,1611723036
440,Talnakh,69.4865,88.3972,244.7,86,100,1.72,RU,1611723036
441,Kuching,1.55,110.3333,300.15,83,40,1.22,MY,1611723037
442,Tiradentes,-21.1103,-44.1781,290.49,93,98,1.96,BR,1611723037
443,Kingaroy,-26.5333,151.8333,304.15,45,40,5.66,AU,1611723038
444,Aasiaat,68.7098,-52.8699,257.38,94,96,2.27,GL,1611723038
445,Verkhoyansk,67.5447,133.385,229.78,73,53,0.74,RU,1611723038
446,Kirakira,-10.4544,161.9205,300.32,81,100,6.39,SB,1611723038
447,Peterhead,57.5058,-1.7981,275.15,100,90,3.6,GB,1611723039
448,Sept-Îles,50.2001,-66.3821,271.15,69,91,1.54,CA,1611723036
449,Rengo,-34.4167,-70.8667,291.15,55,0,2.57,CL,1611723039
450,Uusikaupunki,60.8004,21.4084,272.15,86,90,3.09,FI,1611723039
451,Lysyye Gory,51.5506,44.8414,273.05,98,100,7.01,RU,1611723040
452,São João da Barra,-21.6403,-41.0511,297.9,81,94,7.73,BR,1611722922
453,Campo Grande,-20.4428,-54.6464,297.15,78,40,4.12,BR,1611723040
454,Margate,51.3813,1.3862,280.37,92,100,0.45,GB,1611723040
455,Mount Gambier,-37.8333,140.7667,295.15,43,2,8.75,AU,1611723041
456,Stromness,58.965,-3.296,276.15,81,90,6.69,GB,1611723041
457,Kaabong,3.4836,34.1492,293.15,43,7,4.57,UG,1611723041
458,Jumla,29.2747,82.1838,285.28,21,0,1.65,NP,1611723041
459,Nowy Targ,49.4778,20.0323,272.59,86,20,1.54,PL,1611723042
460,Nadym,65.5333,72.5167,235.48,82,35,5.44,RU,1611723042
461,Sudak,44.85,34.9667,282.86,83,100,2.86,UA,1611723042
462,Narsaq,60.9167,-46.05,261.39,76,0,3.23,GL,1611723043
463,Tungor,53.3808,142.9564,258.18,94,100,4.09,RU,1611723043
464,Solnechnyy,50.7214,136.6319,252.61,86,100,2.81,RU,1611723043
465,Beidao,34.5686,105.8933,279.63,51,93,3.58,CN,1611723044
466,Sparks,39.5349,-119.7527,272.15,47,75,4.63,US,1611722823
467,Yabrūd,33.9674,36.6574,283.15,69,0,1.54,SY,1611723044
468,Champerico,14.3,-91.9167,293.15,95,46,3.56,GT,1611723044
469,Devils Lake,48.1128,-98.8651,247.59,76,1,2.06,US,1611723045
470,Ulan-Ude,51.8261,107.6098,253.15,50,97,3.0,RU,1611723045
471,Pareora,-44.4871,171.2132,301.48,21,100,1.79,NZ,1611723045
472,Vung Tau,10.346,107.0843,300.48,66,87,3.67,VN,1611722973
473,Ogaminana,7.5946,6.2248,294.45,80,51,2.01,NG,1611723046
474,Ekhabi,53.5102,142.9671,257.99,94,100,4.4,RU,1611723046
475,Dickinson,29.4608,-95.0513,292.15,77,90,2.06,US,1611723046
476,Krasnyye Chetai,55.6887,46.1386,274.03,92,100,6.81,RU,1611723046
477,Road Town,18.4167,-64.6167,297.59,81,42,3.13,VG,1611722918
478,Santa Maria,-29.6842,-53.8069,296.47,87,100,3.87,BR,1611722785
479,Viedma,-40.8135,-62.9967,288.21,67,0,2.5,AR,1611723047
480,Nizwá,22.9333,57.5333,292.88,38,3,0.23,OM,1611723048
481,Nueve de Julio,-35.4444,-60.8831,294.82,64,100,0.45,AR,1611723048
482,Moerai,-22.4333,-151.3333,300.46,75,1,6.35,PF,1611723048
483,Dolores,-36.3132,-57.6792,292.25,89,100,2.76,AR,1611723049
484,Samarai,-10.6167,150.6667,302.93,68,77,2.75,PG,1611723049
485,Capâo Bonito,-24.0058,-48.3494,292.07,95,100,0.53,BR,1611723049
486,Paita,-5.0892,-81.1144,297.06,72,95,4.7,PE,1611723049
487,Quatre Cocos,-20.2078,57.7625,302.04,69,20,1.54,MU,1611723050
488,Honiara,-9.4333,159.95,301.42,75,100,3.31,SB,1611723050
489,Pemangkat,1.1667,108.9667,300.44,78,75,3.15,ID,1611723050
490,Vila Velha,-20.3297,-40.2925,297.15,83,40,1.54,BR,1611723050
491,Opuwo,-18.0607,13.84,291.97,75,92,1.07,NA,1611723051
492,Zhezkazgan,47.8043,67.7144,262.02,97,36,3.02,KZ,1611723051
493,Vardø,70.3705,31.1107,269.15,86,75,8.75,NO,1611723051
494,Kumluca,36.3703,30.2869,287.73,76,100,10.86,TR,1611723051
495,Russell,32.3502,-85.1999,290.15,77,90,0.89,US,1611723052
496,Orbetello,42.4408,11.2196,273.71,93,20,3.6,IT,1611723035
497,Bonavista,48.6499,-53.1147,273.15,100,94,3.09,CA,1611723052
498,Havøysund,70.9963,24.6622,270.15,74,75,10.29,NO,1611723052
499,Roald,62.5833,6.1333,272.15,86,18,5.66,NO,1611723053
500,Neftekumsk,44.6667,44.9167,273.92,95,59,3.92,RU,1611723053
501,Lakatoro,-16.0999,167.4164,299.27,87,100,6.63,VU,1611723053
502,Saint Anthony,45.0205,-93.218,262.15,52,90,2.57,US,1611723054
503,Suratgarh,29.3167,73.9,290.26,26,0,1.49,IN,1611723054
504,Valparaíso,-33.0393,-71.6273,285.15,94,20,2.06,CL,1611723054
505,Ishigaki,24.3448,124.1572,294.15,68,40,8.23,JP,1611723055
506,Korla,41.7597,86.1469,271.85,74,0,0.58,CN,1611723055
507,Rio Grande,-32.035,-52.0986,297.04,97,100,2.39,BR,1611723056
508,Santa Cruz de la Sierra,-17.8,-63.1667,296.15,94,75,6.69,BO,1611722919
509,Bakel,14.905,-12.4568,293.51,17,0,4.85,SN,1611723057
510,Cardston,49.2,-113.3019,260.15,85,0,2.06,CA,1611723057
511,Løding,67.3,14.75,269.26,68,0,8.23,NO,1611723057
512,Shebunino,46.4339,141.8603,273.16,98,100,7.04,RU,1611723058
513,Lagoa,39.05,-27.9833,289.41,82,20,12.58,PT,1611723059
514,San Vicente,-26.6167,-54.1333,296.01,77,95,3.35,AR,1611723059
515,College,64.8569,-147.8028,249.26,69,20,0.86,US,1611722799
516,Klaksvík,62.2266,-6.589,274.15,80,46,6.69,FO,1611723060
517,Yelanskiy,56.8419,62.5014,264.07,95,68,3.32,RU,1611723060
518,Mataundh,25.45,80.15,289.95,36,0,1.15,IN,1611723060
519,Berlevåg,70.8578,29.0864,269.15,86,75,7.72,NO,1611723061
520,Marrakesh,31.6315,-8.0083,284.15,76,0,2.57,MA,1611723001
521,Yumen,40.2833,97.2,270.97,72,0,10.56,CN,1611723061
522,Ahraura,25.0167,83.0167,285.15,82,75,2.06,IN,1611723061
523,Eilat,29.5581,34.9482,288.13,37,100,1.08,IL,1611723062
524,Mabaruma,8.2,-59.7833,295.53,94,48,1.99,GY,1611723063
525,Nanchang,28.6833,115.8833,281.62,82,100,2.48,CN,1611723063
526,Idenao,4.2475,9.0047,297.96,81,100,1.26,CM,1611723064
527,Zheleznogorsk,52.331,35.3711,270.91,97,100,4.81,RU,1611723064
528,Hay River,60.8156,-115.7999,251.15,77,100,3.09,CA,1611723065
529,Pespire,13.5922,-87.3617,296.81,64,0,1.79,HN,1611723065
530,South Valley,35.0101,-106.6781,270.37,68,20,3.09,US,1611723066
531,Blythe,33.6103,-114.5964,281.15,61,1,3.09,US,1611723066
532,Matara,5.9485,80.5353,302.14,56,25,0.66,LK,1611723067
533,Fairbanks,64.8378,-147.7164,249.26,69,20,0.83,US,1611723004
534,Mānikganj,23.8553,90.0125,292.15,82,2,2.06,BD,1611723067
535,San Patricio,28.017,-97.5169,292.59,100,90,4.12,US,1611723068
536,Tocopilla,-22.092,-70.1979,293.44,65,0,4.28,CL,1611723068
537,Jiuquan,39.7432,98.5174,269.27,79,39,0.9,CN,1611723068
538,Mikkeli,61.6886,27.2723,273.15,100,90,1.03,FI,1611723069
539,Pierre,44.3683,-100.351,263.15,79,90,4.12,US,1611723069
540,Xixiang,35.1628,112.865,284.1,40,100,3.11,CN,1611723069
541,Dauphin,51.1494,-100.0502,244.15,76,1,2.57,CA,1611723070
542,Aberdeen,57.1437,-2.0981,275.15,100,90,3.6,GB,1611722912
543,Lages,-27.8161,-50.3261,290.66,97,100,1.47,BR,1611723070
544,Mahébourg,-20.4081,57.7,300.15,69,20,1.54,MU,1611723070
545,Zhangjiakou,40.81,114.8794,269.69,79,69,0.88,CN,1611723044
546,Palu,-0.8917,119.8707,304.1,56,100,2.14,ID,1611723071
547,Vila Franca do Campo,37.7167,-25.4333,290.37,94,75,10.8,PT,1611723071
548,Burnie,-41.0667,145.9167,293.15,47,0,5.36,AU,1611723071
549,Ontario,34.0633,-117.6509,282.15,53,40,4.12,US,1611723072
550,Kabompo,-13.5927,24.2008,290.76,98,100,1.45,ZM,1611723072
551,Ulaangom,49.9811,92.0667,249.2,86,85,1.26,MN,1611723072
552,Labuan,5.2767,115.2417,303.15,66,20,3.6,MY,1611723073
553,Kanhangad,12.3081,75.1063,302.17,41,74,0.26,IN,1611723073
554,Pa Sang,18.5262,98.9394,303.71,50,0,1.54,TH,1611723073
555,Krasnyy Klyuch,55.3863,56.6529,266.4,96,100,5.5,RU,1611723074
556,Stryn,61.9045,6.7226,267.04,89,34,1.63,NO,1611723075
557,Sompeta,18.9333,84.6,299.32,61,0,2.19,IN,1611723077
558,Tabou,4.423,-7.3528,298.03,89,71,2.52,CI,1611723077
559,Cody,44.5263,-109.0565,261.15,85,1,1.89,US,1611722988
560,Loukhi,66.0764,33.0381,265.62,97,100,4.23,RU,1611723078
561,Diamond Harbour,22.1917,88.1847,293.71,63,0,4.12,IN,1611723078
562,Pisco,-13.7,-76.2167,293.71,87,92,0.89,PE,1611723079
563,Thale,51.75,11.05,273.71,96,100,2.95,DE,1611723079
564,Nang Rong,14.6377,102.7914,301.15,74,0,2.57,TH,1611723080
565,São Félix do Xingu,-6.6447,-51.995,295.37,97,100,0.73,BR,1611723080
566,Marsh Harbour,26.5412,-77.0636,296.56,87,23,4.68,BS,1611722892
567,Posse,-14.0931,-46.3694,294.31,73,89,3.56,BR,1611722934
568,Mindyak,54.0231,58.7891,266.97,97,100,2.19,RU,1611723081
569,Nichinan,31.6,131.3667,289.15,63,20,4.63,JP,1611723082
570,Kampene,-3.6,26.6667,293.39,95,100,0.84,CD,1611723082
571,Tanout,14.9709,8.8879,289.37,24,44,5.39,NE,1611723082
572,Mnogovershinnyy,53.9353,139.9242,250.77,91,100,2.24,RU,1611723084
573,Kuruman,-27.4524,23.4325,291.48,99,100,11.55,ZA,1611723084
574,Naze,28.3667,129.4833,291.15,72,75,6.69,JP,1611722894
